Intensity Sum,Unit,Category,Channel,Image,Time,TrackID,ID
28704,,Spot,1,Image 1,12,1001144970,1186117
28552,,Spot,1,Image 1,12,1001165762,1186118
20280,,Spot,1,Image 1,12,,1186225
26932,,Spot,1,Image 1,12,1001116942,1186259
31604,,Spot,1,Image 1,12,1001110105,1186591
29620,,Spot,1,Image 1,12,1001111580,1187999
26512,,Spot,1,Image 1,12,1001189025,1189025
35920,,Spot,1,Image 1,12,1001112749,1189117
32516,,Spot,1,Image 1,12,1001113839,1190124
38276,,Spot,1,Image 1,12,1001113852,1190132
30788,,Spot,1,Image 1,12,1001113875,1190153
35128,,Spot,1,Image 1,12,1001113891,1190176
28640,,Spot,1,Image 1,12,1001113909,1190199
39788,,Spot,1,Image 1,12,1001113935,1190222
26804,,Spot,1,Image 1,12,1001113998,1190270
32236,,Spot,1,Image 1,12,1001176735,1190303
29772,,Spot,1,Image 1,12,1001128123,1190305
31104,,Spot,1,Image 1,12,1001114033,1190309
32984,,Spot,1,Image 1,12,1001114083,1190348
33624,,Spot,1,Image 1,12,1001114155,1190418
45588,,Spot,1,Image 1,12,1001114212,1190453
38536,,Spot,1,Image 1,12,1001114259,1190501
36052,,Spot,1,Image 1,12,1001121359,1190502
33268,,Spot,1,Image 1,12,1001135639,1190507
27932,,Spot,1,Image 1,12,1001135666,1190534
38428,,Spot,1,Image 1,12,1001114859,1191060
42608,,Spot,1,Image 1,12,1001114914,1191117
44232,,Spot,1,Image 1,12,1001114932,1191128
30384,,Spot,1,Image 1,12,1001128992,1191153
35208,,Spot,1,Image 1,12,1001114970,1191156
40560,,Spot,1,Image 1,12,1001114996,1191184
28980,,Spot,1,Image 1,13,1001108722,1192137
28896,,Spot,1,Image 1,13,1001108880,1192309
47488,,Spot,1,Image 1,13,1001108915,1192338
34544,,Spot,1,Image 1,13,1001108958,1192369
28972,,Spot,1,Image 1,13,1001109002,1192417
28128,,Spot,1,Image 1,13,1001158314,1192450
35144,,Spot,1,Image 1,13,1001109104,1192485
32352,,Spot,1,Image 1,13,1001109146,1192522
28752,,Spot,1,Image 1,13,1001109241,1192627
30708,,Spot,1,Image 1,13,1001109298,1192697
22040,,Spot,1,Image 1,13,1001130700,1192797
31348,,Spot,1,Image 1,13,1001109419,1192806
35452,,Spot,1,Image 1,13,1001109441,1192817
26560,,Spot,1,Image 1,13,1001109487,1192863
29076,,Spot,1,Image 1,13,1001109538,1192897
22532,,Spot,1,Image 1,13,1001193006,1193006
28020,,Spot,1,Image 1,13,1001116942,1193057
28976,,Spot,1,Image 1,13,1001110105,1193403
29804,,Spot,1,Image 1,13,1001111580,1194766
34612,,Spot,1,Image 1,13,1001112749,1195875
29124,,Spot,1,Image 1,13,1001175961,1196292
33060,,Spot,1,Image 1,13,1001113839,1196890
37204,,Spot,1,Image 1,13,1001113852,1196896
29476,,Spot,1,Image 1,13,1001113875,1196918
35836,,Spot,1,Image 1,13,1001113891,1196945
31708,,Spot,1,Image 1,13,1001113909,1196968
